SORULAR,CEVAPLAR,EN_SORULAR,EN_CEVAPLAR
Havalimanında asistanlık hizmetini nasıl alabilirim?,Asistanlık hizmeti havayolları tarafından sağlanmaktadır. Hizmet talebi için havayolunuzun web sitesini ziyaret edebilirsiniz. Havayolunuza talebinizi önceden bildirmeniz ve rezervasyon yaptırmanız hizmet bekleme sürenizi azaltacaktır. Havalimanımıza geldiğinizde giriş kapılarının öncesinde bulunan asistan çağrı telefonları aracılığıyla ilgili havayolu hizmet sağlayıcısına ulaşabilirsiniz. İlgili personelin gelmesini ilk giriş kapısı ardında bulunan bankta dinlenerek bekleyebilirsiniz.,How can I get assistance service at the airport?,"Assistance services are provided by airlines. You can visit your airline's website to request the service. Notifying your airline of your request and making a reservation in advance will reduce your waiting time. Upon arrival at our airport, you can reach the relevant airline service provider using the assistance call numbers located in front of the entrance gates. You can wait for the relevant staff member to arrive by relaxing on the bench behind the first entrance gate."
Görünmeyen engele sahip bireyler için sunulan ayçiçeği yaka kartını nereden alacağım?,Ayçiçeği yaka kartını danışma noktalarımızdan talep edebilirsiniz.,Where can I get the sunflower badge for people with invisible disabilities?,You can request the Sunflower badge from our information points.
Görünmeyen engele sahip bireyler için sunulan ayçiçeği yaka kartı için herhangi bir rapor talep ediliyor mu?,Ayçiçeği yaka kartı için herhangi bir rapor sunmanıza gerek yoktur.,Is there any report required for the sunflower badge offered to individuals with invisible disabilities?,You do not need to submit any report for the Sunflower badge.
Görünmeyen engele sahip bireyler için sunulan yaka kartı güvenlik geçislerinde öncelik ve ayricalık sağlayacak mi?,"Bu yaka kartı güvenlik geçişlerinde herhangi bir öncelik ve ayrıcalık sağlamamaktadır. Ancak güvenlik personelimiz sizleri tanıyacak, daha fazla zamana ve desteğe ihtiyacınız olabileceğini bilecektir.
Başvurunuzun ve raporunuzun incelenmesi akabinde “Çok Özel Misafir Kartı”nız hazırlanacaktır. Bir sonraki uçuşunuzu belirtmeniz ya da havalimanımıza gelmeden önce çağrı merkezimiz (444 1 442) ya da assist@igairport.aero maili üzerinden bize ulaşmanız durumunda kartınız size en yakın danışma noktasına bırakılacaktır. Çok Özel Misafir Kartı’ nı bir kere almanız durumunda daha sonraki yolculuklarınızda sadece kartınızı taşımanız yeterli olacaktır.",Will the badges offered to individuals with invisible disabilities provide priority and privilege at security checkpoints?,"This badge does not grant you any priority or privilege at security checkpoints. However, our security personnel will recognize you and understand that you may need additional time and support. Following the review of your application and report, your ""Exclusive Guest Card"" will be issued. If you specify your next flight or contact us via our call center (444 1 442) or email assist@igairport.aero before arriving at the airport, your card will be delivered to your nearest information desk. Once you receive your Exclusive Guest Card, you will only need to carry it with you on future trips."
Çok Özel Misafir Odasında neler var?,"Çok özel misafir odasında çizgi film oynayan bir TV, uçuşları takip edebileceğiniz uçuş bilgi ekranı, oturma alanları, sünger oyuncak ve çocuk masa/sandalyesi bulunmaktadır. Odanın içinde duvarları sünger malzemeyle kaplanmış olan bir de “Sessiz Oda” bulunmaktadır.",What's in the Very Special Guest Room?,"The very special guest room features a TV playing cartoons, a flight information screen where you can track flights, seating areas, a foam toy, and a children's table/chair. There's also a ""Quiet Room"" with foam-covered walls."
Erişilebilir Havalimanı kapsaminda hizmet veren Özel Yolcu Hizmet noktalarını kimler kullanabilmektedir?,"Check-in’den önce daha sakin bir alana ihtiyacı olan, elektrikli tekerlekli sandalyesini şarj etmek isteyen misafirler kapı öncesindeki telefonu kullanarak bu odalardan faydalanabilmektedirler. Oda içinde protezini çıkarıp uçak altına vermek isteyen misafirler için de kapalı bir alan ve misafirlerin stressiz bir şekilde check-in zamanını beklemelerine yardımcı olacak olan uçuş bilgi ekranları bulunmaktadır.",Who can use the Special Passenger Service points operating within the Accessible Airport?,"Guests who need a quieter space before check-in or wish to charge their electric wheelchair can use these rooms by using the phone located at the door. The room also includes a designated area for guests who wish to remove their prosthetics and place them under the aircraft, as well as flight information screens to help guests navigate the stress-free check-in process."
Havalimanında ücretsiz Wi-Fi bulunuyor mu?,Havalimanımızda bir saat ücretsiz kullanabileceğiniz Wi-Fi hizmetimiz bulunmaktadır. Hizmetten SMS ya da pasaport numarası girişi yoluyla yararlanabilirsiniz.,Is there free Wi-Fi at the airport?,We offer free Wi-Fi for one hour at our airport. You can access the service by sending an SMS or entering your passport number.
Wi-Fi a nasıl bağlanabilirim?,Havalimanımızda bir saat ücretsiz kullanabileceğiniz Wi-Fi hizmetimiz bulunmaktadır. Hizmetten SMS ya da pasaport numarası girişi yoluyla yararlanabilirsiniz.,How can I connect to Wi-Fi?,We offer free Wi-Fi for one hour at our airport. You can access the service by sending an SMS or entering your passport number.
Havaalanı içerisinde eczane var mıdır?,"Havalimanı giden yolcu katı check-in (kara tarafı) bölgesinde 2 adet, gelen yolcu katında 1 adet olmak üzere 3 adet eczane misafirlerimize hizmet vermektedir. Pasaport kontrol sonrası (hava tarafı) ve transfer alanında gümrük mevzuatı gereğince eczane bulunamamaktadır. Eczane ihtiyacı bulunan misafirlerimiz danışma noktalarımıza müracaat etmeleri halinde kendilerine gerekli yardım sağlanmaktadır.",Is there a pharmacy in the airport?,"Three pharmacies serve our guests: two on the airport departures floor (landside) and one on the arrivals floor. Due to customs regulations, pharmacies are not available after passport control (airside) or in the transfer area. Guests needing a pharmacy can contact our information desks and receive assistance."
Havalimanı içerisinde Banka &ATM var midır?,"Havalimanımız içerisinde banka şubeleri ve ATM’ler bulunmaktadır. Detaylı bilgiye üzerinden, konum bilgilerine web sitemiz ya da IOS/Android cihazınıza yükleyeceğiniz Istanbul Airport mobil uygulamamızdaki haritalar üzerinden ulaşabilirsiniz.",Are there any banks & ATMs inside the airport?,"There are bank branches and ATMs within our airport. You can find detailed information and location information on our website or on the maps in our Istanbul Airport mobile app, which you can download to your iOS/Android device."
Havalimanı içerisinde harç pulu satın alınabilecek noktalar mevcut mudur?,"Harç pulunuzu giden yolcu katı pasaport kontrol noktası hemen öncesinde Türkiye Cumhuriyeti Maliye Bakanlığı tarafından konumlandırılmış harç pulu cihazlarından nakit veya kredi kartı ile satın alabilirsiniz. Bununla beraber ödemeyi bankalar aracılığıyla da gerçekleştirebilir, pasaport geçişinde dekont ibrazı ile geçişinizi sağlayabilirsiniz.",Are there any points where you can purchase tax stamps at the airport?,You can purchase your stamp duty with cash or credit card from the stamp duty machines located by the Ministry of Finance of the Republic of Turkey just before the passport control point on the departures level. You can also pay through banks and present your passport receipt at the checkpoint.
Havalimanında kargo hizmeti var mi?,"Havalimanı içerisinde giden yolcu katında bulunan PTT, UPS Kargo, Jetiz Kargo ile kargo işlemlerinizi gerçekleştirebilirsiniz. Bu alanların konum bilgisine havalimanı haritamız ya da IOS/Android cihazınıza yükleyeceğiniz Istanbul Airport mobil uygulamamız üzerinden ulaşabilirsiniz.",Is there a cargo service at the airport?,"You can carry out your cargo transactions at PTT, UPS Cargo, and Jetiz Cargo, located on the departures level of the airport. You can access the locations of these areas on our airport map or through the Istanbul Airport mobile app, which you can download to your iOS/Android device."
iGA Pass üyelik paketleri hizmet detayları ve ücretleri nelerdir?,İGA Pass Üyelik Paketi içerik ve İGA Pass web sitesi üzerinden inceleyebilirsiniz.,What are the service details and fees of iGA Pass membership packages?,You can review the contents of the İGA Pass Membership Package on the İGA Pass website.
iGA Lounge nerededir?,İGA Lounge dış hatlar giden yolcu katında hizmet vermektedir. Lounge konumlarına havalimanı haritamız ya da IOS/Android cihazınıza yükleyeceğiniz Istanbul Airport mobil uygulamamız üzerinden ulaşabilirsiniz.,Where is iGA Lounge?,The İGA Lounge is located on the international departures floor. You can find lounge locations on our airport map or by downloading the Istanbul Airport mobile app to your iOS/Android device.
Buggy durakları nerelerdedir?,Boarding kartınızda yer alan uçuş kapı numarasına göre ilgili Buggy durağını bulabilirsiniz.,Where are the buggy stops?,You can find the relevant Buggy stop according to the flight gate number on your boarding card.
Buggy hizmetini nasil satin alabilirim?,İGA Pass web sitesi üzerinden alabilirsiniz.,How can I purchase the Buggy service?,You can get it from the İGA Pass website.
IGA Meet and Greet hizmet detaylar ve ücretleri nelerdir?,"Hem iç hatlarda hem de dış hatlarda hizmet gösteren Karşılama & Uğurlama paketlerimiz Gelen Yolcu, Giden Yolcu ve Transfer yolcuların ihtiyaçlarına göre tasarlanmıştır. Hizmet ve paket ücretlerine web sitesi ya da İstanbul Airport mobil uygulaması üzerinden ulaşabilirsiniz.",What are the IGA Meet and Greet service details and fees?,"Our Meet & Greet packages, available for both domestic and international flights, are designed to meet the needs of arriving passengers, departing passengers, and transfer passengers. You can find service and package prices on the website or through the Istanbul Airport mobile app."
iGA Fast Track hizmetinden nasıl yararlanabilirim?,Fast Track hizmetinden yararlanabilmek için İGA Pass üyelik paketlerinden birine sahip olmanız yeterli. Detaylar için iga pass web sitesi üzerinden üyelik paketlerimizi inceleyebilirsiniz.,How can I benefit from the iGA Fast Track service?,"To take advantage of the Fast Track service, you simply need one of the İGA Pass membership packages. For details, you can review our membership packages on the iga pass website."
IGA Fast Track noktalari nerelerdedir?,"Terminal giriş kapılarında giden yolcular için; 1. kapı İç hatlar, 3 ve 7 numaralı Dış hatlar terminal giriş kapılarındaki güvenlik noktaları,
Dış hat gelen yolcu, dış hat giden yolcu katı ve transfer katında yer alan pasaport kontrol noktalarında İGA Fast Track hizmeti yer almaktadır.",Where are the IGA Fast Track points?,"For departing passengers, IGA Fast Track service is available at the following terminal entrance gates: 1st Domestic Terminal, 3rd and 7th International Terminal entrance gates, and passport control points located on the International Arrivals and Departures floors, and on the Transfer Floor."
IGA Pass dahilinde vale & otopark hizmetinden yararlanabiliyor muyum?,Vale ve Otopark hizmetlerinden İGA Pass üyelik paketleri ile yararlanabilirsiniz. Detaylar için iga pass websitesi üzerinden üyelik paketlerimizi inceleyebilirsiniz.,Can I benefit from valet and parking services with IGA Pass?,"You can take advantage of valet and parking services with İGA Pass membership packages. For details, please visit the iga pass website to review our membership packages."
Evcil hayvanımla uçabilir miyim?,"Havalimanı güvenlik kontrol noktalarında seyahat edeceğiniz evcil hayvanınızın havacılık güvenliği kapsamında gerekli kontrolleri yapılmaktadır. Konu ile ilgili detaylı bilgiyi Ticaret
Bakanlığı websitesi üzerinden alabilirsiniz. Ancak taşımak istediğiniz evcil hayvanınız için seyahat edeceğiniz havayolu şirketi ile de iletişime geçmenizi öneririz.",Can I fly with my pet?,"At airport security checkpoints, your pet will be subject to necessary aviation security checks. You can find detailed information on the Ministry of Trade's website. However, we recommend contacting the airline you will be traveling with regarding your pet."
İGAya iş başvurusunda bulunmak istiyorum. Nasıl yardımcı olabilirsiniz?,"Kariyer.net, Linked.in ve İGAnın kariyer sayfasına bakmalısınız.",I would like to apply for a job at İGA. How can you help?,"You should check out the career pages of Kariyer.net, Linked.in and İGA."
"İç hatlardan uçarken kütüphaneden kitap ödünç almıştım, teslim edecek nokta bulamadım. Nereye teslim edebilirim?",İç hat bagaj alımı çıkışında bulunan iade noktasına bırakabilirsiniz.,"I borrowed a book from the library during a domestic flight, but I can't find a place to return it. Where can I return it?",You can leave it at the return point located at the domestic baggage claim exit.
Evcil hayvanım var. Mama ve tuvalet ihtiyacını nasıl karşılayabilirim?,"Arkanızdan düz devam ederek, E konturın arkasında, Parisli cemilin yanındaki koridorda bulunan Pet tuvaletine gidebilirsiniz.",I have a pet. How can I provide it with food and toilet needs?,"You can go to the Pet toilet, which is located in the corridor next to Parisian Cemil, behind the E contour, by continuing straight behind you."
İhram giyme odası nerede?,M kontuarı arkası eczanenin yan koridorundadır.,Where is the ihram dressing room?,It is located behind the M counter in the side corridor of the pharmacy.
En yakın atm ye nasıl giderim?,Dijital danışma kioktan geçin ve P kontuarından dümdüz ilerleyin.Daha sonra sağa dönüp 45 metre ilerledikten sonra sola dönün 37 metre ilerledikten sonra atmler sağınızda kalacaktır.,How do I go to the nearest ATM?,"Pass the digital information kiosk and go straight ahead from counter P. Then turn right and go 45 meters, then turn left and go 37 meters and the ATMs will be on your right."
Güncel uçus bilgilerini ya da uçușumun rotar/iptal durumunu nereden ögrenebilirim?,"Havalimanımızdan kalkan uçuşlarla ilgili güncel bilgileri https://www.istairport.com/ucuslar/ucus-bilgileri/giden-ucuslar/ adresinden, havalimanımıza gelen uçuşlarla ilgili güncel bilgileri https://www.istairport.com/ucuslar/ucus-bilgileri/gelen-ucuslar/ adresinden öğrenebilir ya da IOS/Android mobil cihazınıza yüklediğiniz İstanbul Airport uygulamamız ile güncel uçuş bilgilerini takip edebilirsiniz. Uygulamamız üzerinden uçuşunuzu bulup “uçuşu takip et” butonuna basarak uçuşunuzla ilgili son güncellemeleri anında mobil cihazınızda uyarı olarak alabilirsiniz. Ayrıca 444 1 442 numaralı çağrı merkezimizi arayarak ya da +90 5495633434 numaralı Whatsapp hattımız üzerinden uçuşlar hakkındaki güncel bilgileri öğrenebilirsiniz.",Where can I find up-to-date flight information or my flight's route/cancellation status?,"You can find up-to-date information on flights departing from our airport at https://www.istairport.com/ucuslar/ucus-bilgileri/giden-ucuslar/, and up-to-date information on flights arriving at our airport at https://www.istairport.com/ucuslar/ucus-bilgileri/gelen-ucuslar/. You can also track current flight information using the Istanbul Airport app installed on your iOS/Android mobile device. Find your flight on our app and press the ""Follow Flight"" button to receive instant flight updates on your mobile device. You can also find up-to-date flight information by calling our call center at 444 1 442 or via our WhatsApp line at +90 5495633434."
iGA Pass hizmet ve satts noktalar istanbul Havaliman iceris inde nerede yer alryor?,"Havalimanı içerisinde giden yolcu katında 3 adet hizmet ve satış noktamız bulunmaktadır. Bir tanesi iç hatlar geçişinde D kontuarında, diğeri dış hatlar geçişinde M kontuarında ve sonuncusu pasaport geçişinden sonra information noktasının bitişiğinde yer almaktadır.",Where are the iGA Pass service and sales points located in Istanbul Airport?,"We have three service and sales points on the departures floor of the airport. One is located at counter D in the domestic departures area, another at counter M in the international departures area, and the last one is located next to the information point after the passport control."
Silahımla nasıl seyahat edeceğim?,"Havalimanımızda bulunan 1., 5. ve 7. kapılarda bulunan silah teslim noktalarından silahınızı teslim ederek uçuşunuzu gerçekleştirebilirsiniz.",How do I travel with my gun?,"You can fly by handing over your weapon at the weapon drop-off points located at gates 1, 5 and 7 at our airport."
Havalimanında güvenlik noktasından neleri geçirebilirim?,Havalimanında güvenlik noktalarından geçebilecek malzemelerle ilgili bilgiyi Sivil Havacılık Genel Müdürlüğü’nün ilgili adresinden https://web.shgm.gov.tr/tr/yolcular-icin/3889-index bulabilirsiniz. Uçağa alamayacağınız yasaklı maddelerle ilgili olarak seyahat edeceğiniz havayolu şirketi ile iletişime geçmelisiniz.,What can I take through airport security?,You can find information about items that can pass through airport security checkpoints on the General Directorate of Civil Aviation's website at https://web.shgm.gov.tr/tr/yolcular-icin/3889-index. You should contact your airline regarding any prohibited items you cannot take on board.
"Uçusum rötar yaptı ya da iptal oldu, yolcu haklarim nelerdir?","Uçuşunuzun rötar yapması ya da iptal olması durumunda, sahip olduğunuz yolcu hakları hakkındaki detaylı bilgiyi Sivil Havacılık Genel Müdürlüğü’nün websitesinden https://web.shgm.gov.tr/tr/yolcular-icin/3889-index öğrenebilir; haklarınızla ilgili başvuruyu havayolunuza yapabilirsiniz","My flight was delayed or cancelled, what are my passenger rights?","If your flight is delayed or canceled, you can find detailed information about your passenger rights on the General Directorate of Civil Aviation's website at https://web.shgm.gov.tr/tr/yolcular-icin/3889-index and apply to your airline regarding your rights."
Buggy hizmetini nasil satin alabilirim?,"İGA Buggy hizmetini; www.igapass.com web sitesi, İstanbul Airport mobil uygulaması, İGA Bugyy duraklarından ve Havalimanı içerisinde yer alan İGA Pass hizmet ve satış noktalarındansatın alabilirsiniz",How can I purchase the Buggy service?,"You can purchase the İGA Buggy service from the www.igapass.com website, the Istanbul Airport mobile application, İGA Buggyy stops, and İGA Pass service and sales points located within the airport."
Yurtdisindan aldğım ürünü nereye kaydettirebilirim?,Yurt dışından ülkemize gelirken yanınızda getirmiş olduğunuz cihazların kayıt işlemlerini www.turkiye.gov.tr adresi üzerinden gerçekleştirebilirsiniz.,Where can I register the product I purchased from abroad?,You can register the devices you brought with you when coming to our country from abroad via www.turkiye.gov.tr.
Erişilebilir Havalimanı kapsamında sunulan Çok Özel Misafir Kartrnı nasıl kullanacağım?,"Odaları kullanmak için, havalimanımıza geldiğinizde, terminal girişi öncesinde bulunan asistan çağrı telefonları, danışma noktaları, çağrı merkezimiz (444 1 442) ya da customercare@igairport.aero aracılığıyla odayı kullanmak istediğinizi belirterek odanın müsaitlik durumunu öğrenmenizi rica ederiz. Müsait olması durumunda oda girişinde uçuş kartınızla beraber Çok Özel Misafir Kartı’nızı görevli arkadaşımıza göstererek odamızı kullanabilirsiniz.",How can I use the Very Special Guest Card offered under Accessible Airport?,"To use the rooms, upon arrival at the airport, please contact the assistance numbers located before the terminal entrance, our call center (444 1 442), or customercare@igairport.aero to inquire about room availability. If available, you can use the room by presenting your boarding pass and Very Special Guest Card to our staff member upon arrival."
Otel rezervasyonunu nereden yapabilirim?,Terminal içerisinde konumlanan Yotel imzalı otelimize https://www.yotel.com/ adresi üzerinden ya da istanbul.reservation@yotel.com mail adresi aracılığıyla rezervasyon yaptırabilirsiniz.,Where can I make a hotel reservation?,You can make a reservation at our Yotel hotel located within the terminal via https://www.yotel.com/ or via the e-mail address istanbul.reservation@yotel.com.
Erişilebilir Havalimanı kapsaminda hizmet veren Özel Yolcu Hizmet noktaları nerede bulunmaktadır?,Havalimanımızda iki adet bulunan özel yolcu hizmet noktaları giden yolcu katı check-in bölgesinde B ve M check-in adalarında bulunmaktadır.,Where are the Special Passenger Service points located within the Accessible Airport?,"There are two private passenger service points at our airport, located in the departures floor check-in area, on check-in islands B and M."
Havalimanında tekerlekli sandalye bulabilir miyim?,Tekerlekli sandalye ve asistan eşliğinde seyahat etmek isteyen misafirlerimiz ilgili havayolu şirketine en az 48 saat önce haber vererek ücretsiz asistanlık hizmeti için rezervasyon yaptırabilirler.Tekerlekli sandalyeye ihtiyacı olan yolcu yakını misafirlerimiz pasaport öncesindeki danışmalardan ücretsiz tekerlekli sandalye talep edebilirler.,Can I find a wheelchair at the airport?,Guests who wish to travel with a wheelchair and an assistant can make a reservation for a complimentary assistance service by informing the relevant airline at least 48 hours in advance. Relatives of passengers requiring a wheelchair can request a wheelchair free of charge from the information desks before the passport control.
En yakın eczaneye nasıl giderim?,Dijital danışma kioktan geçin ve sola dönün 75 metre düz ilerleyin eczane sol tarafınızda kalacaktır.,How do I get to the nearest pharmacy?,Pass the digital information kiosk and turn left. Go straight for 75 meters and the pharmacy will be on your left.
Yemek alanına nasıl gidebilirim?,Dijital danışma kiosktan geçin sola dönün 290 metre düz ilerleyin.Yemek katı sol tarafındanızda üst katta kalacaktır. ,How do I get to the food court?,"Pass the digital information kiosk, turn left and go straight for 290 meters. The food court will be on the upper floor on your left."
En yakın wi-fi kiosk nerededir?,,Where is the nearest wi-fi kiosk?,#VALUE!
